data/57.txt https://www.freitag.de/autoren/rmatern/vom-buchverlag-zum-softwareanbieter 2015-11-12 |['Patrisse Khan-Cullors']| None
data/58.txt https://www.freitag.de/autoren/der-freitag/die-unfaehigkeit-zum-plural 2012-09-20 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Georg Von Grote','Hans Springstein','Red Bavarian','Martin Gebauer','Die Unsichtbaren Deutschen','Maria Jacobi','Salim Spohr','Daniel Domeinski']| None
data/59.txt https://www.freitag.de/autoren/der-freitag/klingeltoene-fuer-buergerkinder-rummel-im-zonenrandgebiet 2015-04-15 |['Patrisse Khan-Cullors']| None
data/60.txt https://www.freitag.de/autoren/der-freitag/stress-ohne-grund 2016-04-21 |['Patrisse Khan-Cullors','Richard Zietz','Ehemaliger Nutzer']| None
data/61.txt https://www.freitag.de/autoren/der-freitag/werkgenetische-isolierung 2012-07-10 |['Patrisse Khan-Cullors']| None
data/62.txt https://www.freitag.de/autoren/katja-kullmann/der-ananas-knoten-ein-plaedoyer-fuer-halbe-portionen 2014-08-09 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Mycroft Holmes','Rüdiger Grothues']| None
data/63.txt https://www.freitag.de/autoren/lutz-herden/tragischer-held-sanogo 2013-01-16 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Lutz Herden','Frank R','Ibn Klaus','Gold Star For Robot Boy']| None
data/64.txt https://www.freitag.de/autoren/stefan-bock/lucky-loser-und-die-hannas 2017-08-16 |['Patrisse Khan-Cullors']| None
data/65.txt https://www.freitag.de/autoren/felix-werdermann/ohne-ruecksicht-auf-verluste 2013-05-14 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Peter A Bruns','Felix Werdermann']| None
data/66.txt https://www.freitag.de/autoren/hhamade/getruebte-urteilskraft 2015-10-14 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
data/67.txt https://www.freitag.de/produkt-der-woche/album/distance/distance_hoerprobe 2015-07-08 |['Martin Tingvall','Asaf Avidan','Liam Gallagher']| None
data/68.txt https://www.freitag.de/autoren/der-freitag/201eich-habe-keine-angst-mehr-vor-dem-tod201c 2012-06-01 |['Patrisse Khan-Cullors','Anne Mohnen','Ehemaliger Nutzer']| None
data/69.txt https://www.freitag.de/autoren/dominik-bardow/die-kalte-realitaet-warum-ich-hiermit-den-ball-abgebe 2016-12-31 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Jr'S China Blog']| None
data/70.txt https://www.freitag.de/autoren/kulturblog/die-heilige-birgitte-und-der-traumboy 2016-09-03 |['Patrisse Khan-Cullors']| None
data/71.txt https://www.freitag.de/autoren/sarah-khan/schweinisches-paradoxon 2016-03-26 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
data/72.txt https://www.freitag.de/autoren/max-buech/glitzer-glanz-und-denitza 2012-07-20 |['Patrisse Khan-Cullors']| None
data/73.txt https://www.freitag.de/autoren/der-freitag/erschuetternd-aktuell-der-report-deutsche-fluechtlingspolitik 2015-05-22 |['Patrisse Khan-Cullors','Ringo Wunderlich']| None
data/74.txt https://www.freitag.de/autoren/der-freitag/es-quietscht 2018-01-22 |['Patrisse Khan-Cullors','Gunnar Jeschke','Peter Albert','Montaine Duvall','Banana King','Engelbert Volks']| None
data/75.txt https://www.freitag.de/autoren/der-freitag/verdammt-diese-wueste 2014-11-20 |['Patrisse Khan-Cullors']| None
data/76.txt https://www.freitag.de/autoren/klaus-raab/weltstadt-mietherz 2013-03-06 |['Patrisse Khan-Cullors','Klaus Raab']| None
data/77.txt https://www.freitag.de/autoren/columbus/letzte-wohnstaette-heim-teure-notwendigkeit 2014-02-08 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Janto Ban','Jr'S China Blog','Frank Linnhoff','Rufus T. Firefly','Dersu Usala']| None
data/78.txt https://www.freitag.de/autoren/der-freitag/der-euphorie-folgt-die-lethargie 2012-10-31 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Freedom Of Speech']| None
data/79.txt https://www.freitag.de/autoren/der-freitag/abhoeren-unter-freunden 2016-07-12 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Janine Emmer','Reinhold Schramm']| None
data/80.txt https://www.freitag.de/autoren/der-freitag/hegemonie-ein-lehrstueck 2015-04-28 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
data/81.txt https://www.freitag.de/autoren/philip-grassmann/wowi-daemmerung-in-berlin 2013-01-07 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Anne Mohnen','Georg Von Grote','Sisyphos Boucher','Thomas Mank','Heinz Klaus Dieter','Helmut Eckert','Ludwig Hasselberg']| None
data/82.txt https://www.freitag.de/autoren/joerg-augsburg/triumph-des-willens 2012-10-03 |['Patrisse Khan-Cullors']| None
data/83.txt https://www.freitag.de/autoren/katja-kullmann/gutes-vom-gringo 2016-02-24 |['Patrisse Khan-Cullors']| None
data/84.txt https://www.freitag.de/autoren/rjspoetta/wer-sind-die-rechten 2013-09-30 |['Patrisse Khan-Cullors']| None
data/85.txt https://www.freitag.de/autoren/der-freitag/ein-schmaler-grat-1 2012-07-19 |['Patrisse Khan-Cullors','Sisyphos Boucher','Ehemaliger Nutzer','Anne Mohnen']| None
data/86.txt https://www.freitag.de/autoren/wolfgang-heininger/nur-keine-aufregung 2012-07-16 |['Patrisse Khan-Cullors','Rosa Sconto','Ehemaliger Nutzer']| None
data/87.txt https://www.freitag.de/autoren/der-freitag/kurz-vor-der-ziellinie 2016-10-28 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
data/88.txt https://www.freitag.de/autoren/der-freitag/am-schoenen-kollwitzplatz 2013-11-09 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
data/89.txt https://www.freitag.de/autoren/der-freitag/die-knallharte 2014-10-31 |['Patrisse Khan-Cullors','Tao Traveller','Schna Sel','Ehemaliger Nutzer','Manfred Fröhlich']| None
data/90.txt https://www.freitag.de/autoren/lutz-herden/auferstehung-des-hoffnungstraegers 2014-05-16 |['Patrisse Khan-Cullors','Hans Springstein','Die Realistin']| None
data/91.txt https://www.freitag.de/autoren/asansoerpress35/rat-an-spd-blick-zurueck-nach-vorn 2013-10-19 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
data/92.txt https://www.freitag.de/autoren/lutz-herden/wiederholungstaeter-geschichte 2014-11-27 |['Patrisse Khan-Cullors','Lutz Herden','Ehemaliger Nutzer','Heinz Lambarth','Hans Springstein','John St.Clair','Krysztof Daletski']| None
data/93.txt https://www.freitag.de/autoren/michael-jaeger/rechte-tasche-linke-tasche 2013-08-20 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Costa Esmeralda']| None
data/94.txt https://www.freitag.de/autoren/konstantin-nowotny/sehr-viel-platz-fuer-niemand 2016-01-29 |['Patrisse Khan-Cullors']| None
data/95.txt https://www.freitag.de/autoren/felix-werdermann/ich-bin-doch-schlicht-bloed 2014-04-07 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Worum Geht Es In Der Schule','Daniela Waldmann']| None
data/96.txt https://www.freitag.de/autoren/der-freitag/korrekt-schenken 2017-12-22 |['Patrisse Khan-Cullors']| None
data/97.txt https://www.freitag.de/autoren/maxi-leinkauf/zieh-vater 2012-05-13 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Malte Krøgergaard','Maxi Leinkauf','Anne Mohnen']| None
data/98.txt https://www.freitag.de/autoren/steffen-kraft/da-geht-noch-was 2013-01-27 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Costa Esmeralda','Willibald Hamster','Helmut Eckert','Hans Springstein','Susi Sorglos']| None
data/99.txt https://www.freitag.de/autoren/der-freitag/finanzinvestor-bei-hertha 2014-02-06 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
data/100.txt https://www.freitag.de/autoren/der-freitag/der-syrische-knoten 2013-09-14 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Hans Springstein']| None
data/101.txt https://www.freitag.de/autoren/justrecently/david-cameron-und-das-kollektive-bewusstsein 2013-04-19 |['Patrisse Khan-Cullors','Hans Springstein','Ehemaliger Nutzer','Jr'S China Blog']| None
data/102.txt https://www.freitag.de/autoren/der-freitag/mit-dem-mut-der-gesinnung 2014-01-28 |['Patrisse Khan-Cullors','Frank Linnhoff','Ehemaliger Nutzer','Benjamin Tag']| None
data/103.txt https://www.freitag.de/autoren/der-freitag/tweets-sind-keine-taten 2017-01-19 |['Patrisse Khan-Cullors']| None
data/104.txt https://www.freitag.de/autoren/joerg-augsburg/ding-dong-the-witch-is-dead 2013-04-09 |['Patrisse Khan-Cullors','Ludwig Hasselberg','Poor On Ruhr','Ehemaliger Nutzer','Jan Jasper Kosok','Freedom Of Speech','Kcolk Netsrot','Kaesebier Ii','Jörg Augsburg']| None
data/105.txt https://www.freitag.de/autoren/der-freitag/was-genau-ist-industriekultur 2013-09-09 |['Patrisse Khan-Cullors']| None
data/106.txt https://www.freitag.de/autoren/freitag-salon/freitag-salon-mit-frank-schirrmacher-am-12-3 2013-04-02 |['Patrisse Khan-Cullors']| None
data/107.txt https://www.freitag.de/autoren/felix-werdermann/verzerrtes-bild-linker-gewalt 2014-05-08 |['Patrisse Khan-Cullors','Irgendwie Links','Ehemaliger Nutzer']| None
data/108.txt https://www.freitag.de/autoren/der-freitag/das-nirwana-des-geldes 2014-07-24 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Max Irrational','Ludwig Brunner','Susi Sorglos']| None
data/109.txt https://www.freitag.de/autoren/thomas-beschorner/zu-kritisch-fuers-ministerium 2015-10-30 |['Patrisse Khan-Cullors','Ringo Wunderlich','Che Nie','Thomas Beschorner','Reinhold Schramm','Heinz Lambarth','Ehemaliger Nutzer']| None
data/110.txt https://www.freitag.de/autoren/lutz-herden/krieg-um-die-nachkriegsordnung 2018-01-22 |['Patrisse Khan-Cullors','Lutz Herden','Gunnar Jeschke','Montaine Duvall','Engelbert Volks']| None
data/111.txt https://www.freitag.de/autoren/danielm2601/der-wandel-kam-nie 2013-07-13 |['Patrisse Khan-Cullors','Jr'S China Blog','Ehemaliger Nutzer','Daniel Martienssen','Costa Esmeralda','Daniel Domeinski']| None
data/112.txt https://www.freitag.de/autoren/maxi-leinkauf/die-gute-stube 2015-07-01 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Vera Bunse','Heinz Lambarth']| None
data/113.txt https://www.freitag.de/autoren/der-freitag/franzoesisches-rezept 2012-07-19 |['Patrisse Khan-Cullors','Jr'S China Blog','Rosa Sconto','Malte D.','Ehemaliger Nutzer','Freedom Of Speech']| None
data/114.txt https://www.freitag.de/autoren/ernstchen/die-ersten-saeugetiere-in-der-welt-der-saurier 2014-08-05 |['Patrisse Khan-Cullors','Silvio Spottiswoode','Ehemaliger Nutzer']| None
data/115.txt https://www.freitag.de/autoren/der-freitag/geschlossene-gesellschaft-2 2012-11-17 |['Patrisse Khan-Cullors','Helmut Eckert','Ehemaliger Nutzer','Corina Wagner','Michael Meier','Fritz Teich','Hans Georg Ossianowsky']| None
data/116.txt https://www.freitag.de/autoren/the-guardian/flucht-statt-rueckzug/ 2012-08-28 |['Patrisse Khan-Cullors','Die Unsichtbaren Deutschen','Ehemaliger Nutzer','Hans Springstein']| None
data/117.txt https://www.freitag.de/autoren/stefan-simon/gutes-essen-gute-landwirtschaft-fuer-alle 2014-01-21 |['Patrisse Khan-Cullors','Jürgen Sting','Ehemaliger Nutzer']| None
data/118.txt https://www.freitag.de/autoren/freitag-salon/radioeins-freitag-salon-mit-susan-neiman 2017-09-21 |['Patrisse Khan-Cullors']| None
data/119.txt https://www.freitag.de/autoren/der-freitag/sie-bleibt-ein-hippie 2015-12-19 |['Patrisse Khan-Cullors','Richard Zietz']| None
data/120.txt https://www.freitag.de/autoren/geld-und-glueck/eine-ombudsperson-kommender-generationen 2012-10-08 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
data/121.txt https://www.freitag.de/autoren/linksschreiber/eduard-schneemann 2014-08-17 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Dorian Baganz','Philipp Tenta']| None
data/122.txt https://www.freitag.de/autoren/lutz-herden/vor-dem-zugriff 2015-12-07 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Richard Zietz','Heinz Lambarth','Schna Sel','Reinhold Schramm','Lutz Herden','Hans Springstein','Silvio Spottiswoode','Moritz Neumann']| None
data/123.txt https://www.freitag.de/autoren/der-freitag/ist-unser-traum-in-erfuellung-gegangen 2014-11-21 |['Patrisse Khan-Cullors','Marian Schraube','Ehemaliger Nutzer','Rüdiger Grothues','Manfred Fröhlich']| None
data/124.txt https://www.freitag.de/autoren/isipeazy/skurrile-geschichten 2017-05-23 |['Patrisse Khan-Cullors']| None
data/125.txt https://www.freitag.de/autoren/axel-brueggemann/takt-der-arbeit 2015-05-23 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Ringo Wunderlich','Reinhold Schramm','Manfred Fröhlich','Janto Ban']| None
data/126.txt https://www.freitag.de/autoren/justrecently/deutsche-welle-korrigiert-doch-keine-einheit 2014-09-26 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Tai De','Kai Lücke','Jr'S China Blog']| None
data/127.txt https://www.freitag.de/autoren/joerg-augsburg/it2019s-not-so-my-way 2014-01-23 |['Patrisse Khan-Cullors','Rufus T. Firefly']| None
data/128.txt https://www.freitag.de/autoren/der-freitag/lindenstrasse 2015-12-06 |['Patrisse Khan-Cullors','Sebastian Puschner']| None
data/129.txt https://www.freitag.de/autoren/der-freitag/ein-geschaeft-das-frauen-degradiert 2014-08-07 |['Patrisse Khan-Cullors','Ullrich Läntzsch','Ehemaliger Nutzer']| None
data/130.txt https://www.freitag.de/autoren/mullstaaman/huepfburgen-statt-kleine-anfragen 2017-11-28 |['Patrisse Khan-Cullors','Dr. Roland Wagner']| None
data/131.txt https://www.freitag.de/autoren/der-freitag/als-kaeme-ein-wundertaeter 2013-06-22 |['Patrisse Khan-Cullors','Carmen Hoffenberger']| None
data/132.txt https://www.freitag.de/autoren/der-freitag/eine-reform-wie-ein-makabrer-witz-die-regierung-kontrolliert-die-kontrolleure 2016-10-31 |['Patrisse Khan-Cullors','Rüdiger Heescher']| None
data/133.txt https://www.freitag.de/autoren/der-freitag/eis-mit-stil 2012-10-03 |['Patrisse Khan-Cullors','Wallace Rope','Ehemaliger Nutzer','Max Büch']| None
